days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
1,NA,0.39882740306008074,NA,0.06690878652528084,0.4894710291348448,0.10935688944621576,0.10935688944621576
2,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
3,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
4,NA,0.39882740306008074,NA,0.068526150726077,0.4894710291348448,0.11200033774779128,0.11200033774779128
5,NA,0.39882740306008074,NA,0.08020806277010693,0.4894710291348448,0.1310934588498562,0.1310934588498562
6,NA,0.39882740306008074,NA,0.08035338615557344,0.4894710291348448,0.1313309779295425,0.1313309779295425
7,NA,0.39882740306008074,NA,0.08275393818855006,0.4894710291348448,0.13525448210460211,0.13525448210460211
8,NA,0.39882740306008074,NA,0.08247221754425366,0.4894710291348448,0.1347940329625242,0.1347940329625242
9,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
10,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
11,NA,0.39882740306008074,NA,0.07244456008365517,0.4894710291348448,0.11840465444780775,0.11840465444780775
12,NA,0.39882740306008074,NA,0.08653515663205077,0.4894710291348448,0.14143457157822698,0.14143457157822698
13,NA,0.39882740306008074,NA,0.08645808232895394,0.4894710291348448,0.141308599990927,0.141308599990927
14,NA,0.39882740306008074,NA,0.08751190395216749,0.4894710291348448,0.1430309844598525,0.1430309844598525
15,NA,0.39882740306008074,NA,0.08491723912139379,0.4894710291348448,0.1387902189373498,0.1387902189373498
16,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
17,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
18,NA,0.39882740306008074,NA,0.07855669192470986,0.4894710291348448,0.1283944294943237,0.1283944294943237
19,NA,0.39882740306008074,NA,0.08657547285461326,0.4894710291348448,0.1415004651166188,0.1415004651166188
20,NA,0.39882740306008074,NA,0.08438194415868702,0.4894710291348448,0.13791532349987654,0.13791532349987654
21,NA,0.39882740306008074,NA,0.07817248556877415,0.4894710291348448,0.1277664759149426,0.1277664759149426
22,NA,0.39882740306008074,NA,0.08308630051538811,0.4894710291348448,0.13579770089722484,0.13579770089722484
23,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
24,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
25,NA,0.39882740306008074,NA,0.07006864765796195,0.4894710291348448,0.11452142167729183,0.11452142167729183
26,NA,0.39882740306008074,NA,0.07763237542601577,0.4894710291348448,0.12688371046308242,0.12688371046308242
27,NA,0.39882740306008074,NA,0.0798827265433528,0.4894710291348448,0.13056172363794114,0.13056172363794114
28,NA,0.39882740306008074,NA,0.08225341938181155,0.4894710291348448,0.13443642542390632,0.13443642542390632
29,NA,0.39882740306008074,NA,0.08147085368400167,0.4894710291348448,0.1331573863777048,0.1331573863777048
30,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
31,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
32,NA,0.39882740306008074,NA,0.06612488185244551,0.4894710291348448,0.10807566195584371,0.10807566195584371
33,NA,0.39882740306008074,NA,0.08770893422484012,0.4894710291348448,0.14335301417919402,0.14335301417919402
34,NA,0.39882740306008074,NA,0.08460693430998092,0.4894710291348448,0.13828305133323424,0.13828305133323424
35,NA,0.39882740306008074,NA,0.0823768019529785,0.4894710291348448,0.13463808405344366,0.13463808405344366
36,NA,0.39882740306008074,NA,0.08891439270876922,0.4894710291348448,0.14532323658203536,0.14532323658203536
37,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
38,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
39,NA,0.39882740306008074,NA,0.06941312425025843,0.4894710291348448,0.11345002276918947,0.11345002276918947
40,NA,0.39882740306008074,NA,0.08377798040058104,0.4894710291348448,0.13692819458371006,0.13692819458371006
41,NA,0.39882740306008074,NA,0.08273451516749106,0.4894710291348448,0.13522273677970584,0.13522273677970584
42,NA,0.39882740306008074,NA,0.08794275735629711,0.4894710291348448,0.14373517878962302,0.14373517878962302
43,NA,0.39882740306008074,NA,0.10710347261482099,0.4894710291348448,0.17505178650369513,0.17505178650369513
44,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
45,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
46,NA,0.39882740306008074,NA,0.10051948401512512,0.4894710291348448,0.1642908005285566,0.1642908005285566
47,NA,0.39882740306008074,NA,0.11488399946612904,0.4894710291348448,0.18776841549815942,0.18776841549815942
48,NA,0.39882740306008074,NA,0.11333420868009465,0.4894710291348448,0.18523541036602942,0.18523541036602942
49,NA,0.39882740306008074,NA,0.1229692179833185,0.4894710291348448,0.20098303787363336,0.20098303787363336
50,NA,0.39882740306008074,NA,0.11568635759385672,0.4894710291348448,0.18907980363754878,0.18907980363754878
51,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
52,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
53,NA,0.39882740306008074,NA,0.11162756955929205,0.4894710291348448,0.18244604957575894,0.18244604957575894
54,NA,0.39882740306008074,NA,0.11177145048203214,0.4894710291348448,0.18268121106916854,0.18268121106916854
55,NA,0.39882740306008074,NA,0.11235307866593705,0.4894710291348448,0.18363183433270747,0.18363183433270747
