model,term,estimate,std.error,statistic,p.value
baseline,(Intercept),0.05737204914472129,0.00905870610827056,6.333360245823722,2.5903950813930824e-10
baseline,days_ahead,6.006961561883171e-4,7.909087228364414e-5,7.595012405907427,3.598422452084603e-14
baseline,I(days_ahead^2),3.644123786626949e-7,1.4514003335640772e-7,2.510764054792789,0.012075653176699752
year_fixed_effects,(Intercept),0.19828338731633646,0.021167184665752972,9.367489840873603,1.0610017144766712e-20
year_fixed_effects,days_ahead,6.44669960543986e-4,7.976949276465993e-5,8.08166052209865,7.800307636307322e-16
year_fixed_effects,I(days_ahead^2),1.4449328008112506e-7,1.4458760804609517e-7,0.9993476068506505,0.31767059265121894
year_fixed_effects,factor(year)2023,-0.08207413271178939,0.019105424841520308,-4.295854888995934,1.7704125482404546e-5
year_fixed_effects,factor(year)2024,-0.18407806020066855,0.01930462296268933,-9.535439286042632,2.1877289888719507e-21
year_fixed_effects,factor(year)2025,-0.1092335870932014,0.020793850647970267,-5.2531678207405,1.5517406380334775e-7
meeting_fixed_effects,(Intercept),0.17370433585470918,0.014039277930209218,12.372740016845054,1.069001547065803e-34
meeting_fixed_effects,days_ahead,5.817381648839314e-4,7.596671471440602e-5,7.6578033823228235,2.2238139701903473e-14
meeting_fixed_effects,I(days_ahead^2),4.0091812404437933e-7,1.3945554523997872e-7,2.8748811913823076,0.004057447784977921
meeting_fixed_effects,factor(meeting_date)2024-03-19,-0.024771857099068272,0.015996664180971898,-1.548563926755086,0.12154463549679982
meeting_fixed_effects,factor(meeting_date)2024-05-07,-0.023718870896529187,0.016320819841283914,-1.453289180763562,0.14620104506137424
meeting_fixed_effects,factor(meeting_date)2024-06-18,-0.04220729965008569,0.01609896179217323,-2.621740469662177,0.008772515900480263
meeting_fixed_effects,factor(meeting_date)2024-08-06,-0.05849108106182312,0.016133389191205334,-3.6254676787756352,2.910719788923144e-4
meeting_fixed_effects,factor(meeting_date)2024-09-24,-0.11359622646029276,0.015999275767119913,-7.100085535980584,1.40632373027229e-12
meeting_fixed_effects,factor(meeting_date)2024-11-05,-0.14876346690936312,0.016193051795545723,-9.186870318681002,5.631192405123792e-20
meeting_fixed_effects,factor(meeting_date)2024-12-10,-0.13134555274271895,0.016193074123500305,-8.111217903467931,6.138802082948241e-16
meeting_fixed_effects,factor(meeting_date)2025-02-18,-0.19478937318940207,0.016032703373327586,-12.149502716644694,1.560951652980143e-33
meeting_fixed_effects,factor(meeting_date)2025-04-01,-0.1769513982535562,0.016193150805923824,-10.927545872593452,1.639259135336792e-27
meeting_fixed_effects,factor(meeting_date)2025-05-20,-0.1827457414739042,0.01607629424388548,-11.367404620838565,1.3066374044687778e-29
meeting_fixed_effects,factor(meeting_date)2025-07-08,-0.1914035522498794,0.016205156354713895,-11.811274637544752,8.314207081268855e-32
meeting_fixed_effects,factor(meeting_date)2025-08-12,-0.15993261894069574,0.016193070856872854,-9.876608356395554,8.1653391178436e-23
meeting_fixed_effects,factor(meeting_date)2025-09-30,-0.15088081705448556,0.01631815014074405,-9.246196152942488,3.266561111217847e-20
meeting_fixed_effects,factor(meeting_date)2025-11-04,-0.12089728379711552,0.016205315515236147,-7.4603474201689295,9.987467687790101e-14
meeting_fixed_effects,factor(meeting_date)2025-12-09,-0.11792260700709319,0.01614596376341958,-7.303534724527225,3.206519437984441e-13
