days_ahead,n_forecasts,rmse,sample
1,14,0.06690878652528084,Full sample
4,12,0.068526150726077,Full sample
5,15,0.08020806277010693,Full sample
6,15,0.08035338615557344,Full sample
7,14,0.08275393818855006,Full sample
8,15,0.08247221754425366,Full sample
11,14,0.07244456008365517,Full sample
12,15,0.08653515663205077,Full sample
13,15,0.08645808232895394,Full sample
14,15,0.08751190395216749,Full sample
15,16,0.08491723912139379,Full sample
18,13,0.07855669192470986,Full sample
19,16,0.08657547285461326,Full sample
20,16,0.08438194415868702,Full sample
21,16,0.07817248556877415,Full sample
22,15,0.08308630051538811,Full sample
25,13,0.07006864765796195,Full sample
26,14,0.07763237542601577,Full sample
27,16,0.0798827265433528,Full sample
28,16,0.08225341938181155,Full sample
29,14,0.08147085368400167,Full sample
32,10,0.06612488185244551,Full sample
33,14,0.08770893422484012,Full sample
34,15,0.08460693430998092,Full sample
35,16,0.0823768019529785,Full sample
36,13,0.08891439270876922,Full sample
39,11,0.06941312425025843,Full sample
40,16,0.08377798040058104,Full sample
41,15,0.08273451516749106,Full sample
42,14,0.08794275735629711,Full sample
43,13,0.10710347261482099,Full sample
46,12,0.10051948401512512,Full sample
47,15,0.11488399946612904,Full sample
48,14,0.11333420868009465,Full sample
49,14,0.1229692179833185,Full sample
50,15,0.11568635759385672,Full sample
53,14,0.11162756955929205,Full sample
54,14,0.11177145048203214,Full sample
55,14,0.11235307866593705,Full sample
56,15,0.11039323650779932,Full sample
57,16,0.11390785749894597,Full sample
60,14,0.0982435021479049,Full sample
61,15,0.1122497216032177,Full sample
62,16,0.10970842036963148,Full sample
63,16,0.10896530411098801,Full sample
64,16,0.10955877418080397,Full sample
67,11,0.095286648878767935,Full sample
68,15,0.12064410470470763,Full sample
69,15,0.11847643928928263,Full sample
70,16,0.12523103648856534,Full sample
71,16,0.13048587088263816,Full sample
74,12,0.11289744608862243,Full sample
75,15,0.12063719713808517,Full sample
76,15,0.13378465283183094,Full sample
77,16,0.13453624047073695,Full sample
78,13,0.1350712062922034,Full sample
81,11,0.10766108438479388,Full sample
82,15,0.1465207607587869,Full sample
83,16,0.15475282711472718,Full sample
84,15,0.1643826835973538,Full sample
85,14,0.17743207956044257,Full sample
88,13,0.15081190526357963,Full sample
89,16,0.17187386363260773,Full sample
90,14,0.20609463845525272,Full sample
91,15,0.17480465287476468,Full sample
92,13,0.20316722933810732,Full sample
95,13,0.14165233713350867,Full sample
96,14,0.16899387140198124,Full sample
