date,cash_rate,scrape_date
2024-04-01,4.314999999999998,2024-04-09
2024-05-01,4.299999999999997,2024-04-09
2024-06-01,4.289999999999992,2024-04-09
2024-07-01,4.269999999999996,2024-04-09
2024-08-01,4.215000000000003,2024-04-09
2024-09-01,4.194999999999993,2024-04-09
2024-10-01,4.1499999999999915,2024-04-09
2024-11-01,4.075000000000003,2024-04-09
2024-12-01,4.015000000000001,2024-04-09
2025-01-01,3.9950000000000045,2024-04-09
2025-02-01,3.9350000000000023,2024-04-09
2025-03-01,3.905000000000001,2024-04-09
2025-04-01,3.8700000000000045,2024-04-09
2025-05-01,3.8299999999999983,2024-04-09
2025-06-01,3.799999999999997,2024-04-09
2025-07-01,3.7749999999999915,2024-04-09
2025-08-01,3.7450000000000045,2024-04-09
2025-09-01,3.7249999999999943,2024-04-09
