dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-12-29,2025-12-03,2025-12-02,96.405,96.4,0,0,-0.005,-0.005,96.405,97.19,96.405,96.405,96.41,3248,3248,895208763,IBZ2025,2025-12-01,2025-12-02,2025-12-03T03:26:41Z,3.594999999999999
2026-01-28,2025-12-03,2025-12-02,96.41,96.405,-0.010000000000005116,-0.010371830109428113,-0.005,-0.005,96.405,97.105,96.405,96.405,96.41,27,27,919010878,IBF2026,2026-01-01,2025-12-02,2025-12-03T03:26:41Z,3.594999999999999
2026-02-25,2025-12-02,2025-12-02,96.41,96.4,-0.0049999999999954525,-0.00518618400580381,-0.005,-0.005,96.405,97.065,96.41,96.405,96.41,472,472,928464846,IBG2026,2026-02-01,2025-12-02,2025-12-03T03:26:41Z,3.594999999999999
2026-03-29,2025-12-02,2025-12-02,96.405,96.4,-0.010000000000005116,-0.010371830109428113,-0.005,-0.005,96.405,97.105,96.405,96.405,96.41,28,28,935346173,IBH2026,2026-03-01,2025-12-02,2025-12-03T03:26:41Z,3.594999999999999
2026-04-28,2025-12-03,2025-12-02,96.405,96.4,0.024999999999991473,0.025929575273548174,0.035,0.036000000000000004,96.44,96.925,96.4,96.44,96.405,135,135,941648808,IBJ2026,2026-04-01,2025-12-02,2025-12-03T03:26:41Z,3.5600000000000023
2026-05-27,2025-12-03,2025-12-02,96.385,96.36,-0.015000000000000568,-0.015558552017426168,0.015,0.016,96.395,97.015,96.41,96.395,96.38,10,10,949242588,IBK2026,2026-05-01,2025-12-02,2025-12-03T03:26:41Z,3.605000000000004
2026-06-28,2025-12-02,2025-12-02,96.36500000000001,96.33500000000001,-0.045000000000001705,-0.046678076863235,0,0,96.36,96.97500000000001,96.375,96.36,96.36,50,50,955528239,IBM2026,2026-06-01,2025-12-02,2025-12-03T03:26:41Z,3.6400000000000006
2026-07-29,NA,2025-12-02,96.34,96.31,NA,0,NA,NA,NA,NA,NA,NA,96.355,0,0,962344067,IBN2026,2026-07-01,2025-12-02,2025-12-03T03:26:41Z,NA
2026-08-29,NA,2025-12-02,96.305,96.275,NA,0,NA,NA,NA,NA,NA,NA,96.33,0,0,969160575,IBQ2026,2026-08-01,2025-12-02,2025-12-03T03:26:41Z,NA
2026-09-28,2025-11-26,2025-12-02,96.285,96.255,0,0,-0.12,-0.124,96.39,96.86500000000001,96.39,96.39,96.315,0,0,976225343,IBU2026,2026-09-01,2025-12-02,2025-12-03T03:26:41Z,3.6850000000000023
2026-10-28,2025-11-26,2025-12-02,96.26,96.23,0,0,-0.14,-0.145,96.36,96.86500000000001,96.36,96.36,96.3,0,0,983956682,IBV2026,2026-10-01,2025-12-02,2025-12-03T03:26:41Z,3.700000000000003
2026-11-28,2025-12-03,2025-12-02,96.22500000000001,96.19500000000001,-0.10500000000000398,-0.1090059693745175,-0.05,-0.052000000000000005,96.22,96.86500000000001,96.58,96.22,96.27,100,100,990482019,IBX2026,2026-11-01,2025-12-02,2025-12-03T03:26:41Z,3.780000000000001
2026-12-29,2025-11-04,2025-12-02,96.205,96.175,0.24500000000000455,0.254373669729538,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.255,0,0,996839036,IBZ2026,2026-12-01,2025-12-02,2025-12-03T03:26:41Z,3.7450000000000045
2027-01-27,NA,2025-12-02,96.2,96.17,NA,0,NA,NA,NA,NA,NA,NA,96.25,0,0,1004041830,IBF2027,2027-01-01,2025-12-02,2025-12-03T03:26:41Z,NA
2027-02-24,NA,2025-12-02,96.18,96.15,NA,0,NA,NA,NA,NA,NA,NA,96.235,0,0,1010033436,IBG2027,2027-02-01,2025-12-02,2025-12-03T03:26:41Z,NA
2027-03-29,NA,2025-12-02,96.165,96.135,NA,0,NA,NA,NA,NA,NA,NA,96.22,0,0,1016946091,IBH2027,2027-03-01,2025-12-02,2025-12-03T03:26:41Z,NA
2027-04-28,NA,2025-12-02,96.15,96.12,NA,0,NA,NA,NA,NA,NA,NA,96.21000000000001,0,0,1026315950,IBJ2027,2027-04-01,2025-12-02,2025-12-03T03:26:41Z,NA
2027-05-29,NA,2025-12-02,96.135,96.105,NA,0,NA,NA,NA,NA,NA,NA,96.19,0,0,1033478754,IBK2027,2027-05-01,2025-12-02,2025-12-03T03:26:41Z,NA
