dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2025-12-29,2025-12-12,2025-12-16,96.405,96.4,-0.0049999999999954525,-0.005186452984798975,-0.005,-0.005,96.4,97.19,96.4,96.4,96.405,0,0,895208763,IBZ2025,2025-12-01,2025-12-16,2025-12-17T04:53:12Z,3.594999999999999,3.594999999999999
2026-01-28,2025-12-16,2025-12-16,96.405,96.395,0,0,-0.005,-0.005,96.4,97.105,96.4,96.4,96.405,3009,3009,919010878,IBF2026,2026-01-01,2025-12-16,2025-12-17T04:53:12Z,3.5999999999999943,3.594999999999999
2026-02-25,2025-12-17,2025-12-16,96.32000000000001,96.315,-0.0049999999999954525,-0.005191029900327505,-0.005,-0.005,96.315,97.065,96.315,96.315,96.32000000000001,205,205,928464846,IBG2026,2026-02-01,2025-12-16,2025-12-17T04:53:12Z,3.6850000000000023,3.6799999999999926
2026-03-29,2025-12-17,2025-12-16,96.3,96.295,-0.0049999999999954525,-0.005192107995841592,-0.005,-0.005,96.295,97.105,96.29,96.295,96.3,205,205,935346173,IBH2026,2026-03-01,2025-12-16,2025-12-17T04:53:12Z,3.7049999999999983,3.700000000000003
2026-04-28,2025-12-16,2025-12-16,96.295,96.285,0.009999999999990905,0.010386912490252823,-0.01,-0.01,96.285,96.925,96.255,96.285,96.295,48,48,941648808,IBJ2026,2026-04-01,2025-12-16,2025-12-17T04:53:12Z,3.7150000000000034,3.7049999999999983
2026-05-27,2025-12-16,2025-12-16,96.215,96.205,0.05000000000001137,0.05198045534880068,-0.03,-0.031,96.24000000000001,97.015,96.24000000000001,96.24000000000001,96.215,10,30,949242588,IBK2026,2026-05-01,2025-12-16,2025-12-17T04:53:12Z,3.759999999999991,3.7849999999999966
2026-06-28,2025-12-09,2025-12-16,96.2,96.17,0.10500000000000398,0.10921004732435799,-0.01,-0.01,96.25,96.97500000000001,96.25,96.25,96.19,0,0,955528239,IBM2026,2026-06-01,2025-12-16,2025-12-17T04:53:12Z,3.8100000000000023,3.8100000000000023
2026-07-29,2025-12-09,2025-12-16,96.18,96.15,0,0,-0.04,-0.042,96.075,96.075,96.075,96.075,96.175,0,0,962344067,IBN2026,2026-07-01,2025-12-16,2025-12-17T04:53:12Z,3.825000000000003,3.825000000000003
2026-08-29,2025-12-09,2025-12-16,96.11500000000001,96.08500000000001,0.03499999999999659,0.036446943663434955,-0.105,-0.109,96.065,96.15,96.065,96.065,96.125,0,0,969160575,IBQ2026,2026-08-01,2025-12-16,2025-12-17T04:53:12Z,3.875,3.875
2026-09-28,2025-12-16,2025-12-16,96.08,96.055,0.1150000000000091,0.11980414626524544,-0.025,-0.026000000000000002,96.105,96.86500000000001,96.105,96.105,96.10000000000001,100,100,976225343,IBU2026,2026-09-01,2025-12-16,2025-12-17T04:53:12Z,3.894999999999996,3.8999999999999915
2026-10-28,2025-12-16,2025-12-16,96.06,96.035,0.13500000000000512,0.140705612590552,-0.035,-0.036000000000000004,96.08,96.86500000000001,96.08,96.08,96.08,100,100,983956682,IBV2026,2026-10-01,2025-12-16,2025-12-17T04:53:12Z,3.9200000000000017,3.9200000000000017
2026-11-28,2025-12-09,2025-12-16,96.035,96.005,0.125,0.1303441084462982,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,96.055,0,0,990482019,IBX2026,2026-11-01,2025-12-16,2025-12-17T04:53:12Z,3.944999999999993,3.944999999999993
2026-12-29,2025-11-04,2025-12-16,96.015,95.985,0.6800000000000068,0.7092198581560355,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.04,0,0,996839036,IBZ2026,2026-12-01,2025-12-16,2025-12-17T04:53:12Z,3.9599999999999937,3.9599999999999937
2027-01-27,NA,2025-12-16,96.01,95.98,NA,0,NA,NA,NA,NA,NA,NA,96.03,0,0,1004041830,IBF2027,2027-01-01,2025-12-16,2025-12-17T04:53:12Z,NA,3.969999999999999
2027-02-24,NA,2025-12-16,95.995,95.965,NA,0,NA,NA,NA,NA,NA,NA,96.02,0,0,1010033436,IBG2027,2027-02-01,2025-12-16,2025-12-17T04:53:12Z,NA,3.980000000000004
2027-03-29,NA,2025-12-16,95.99000000000001,95.96000000000001,NA,0,NA,NA,NA,NA,NA,NA,96.015,0,0,1016946091,IBH2027,2027-03-01,2025-12-16,2025-12-17T04:53:12Z,NA,3.9849999999999994
2027-04-28,NA,2025-12-16,95.985,95.955,NA,0,NA,NA,NA,NA,NA,NA,96.015,0,0,1026315950,IBJ2027,2027-04-01,2025-12-16,2025-12-17T04:53:12Z,NA,3.9849999999999994
2027-05-29,NA,2025-12-16,95.98,95.95,NA,0,NA,NA,NA,NA,NA,NA,96.01,0,0,1033478754,IBK2027,2027-05-01,2025-12-16,2025-12-17T04:53:12Z,NA,3.989999999999995
