"meeting_date","scrape_time","scrape_datetime_aest","move","diff_bps","bucket_rate","probability"
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","0.10%",-360,0.001,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","0.35%",-360,0.0035,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","0.60%",-359,0.006,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","0.85%",-359,0.0085,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","1.10%",-359,0.011,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","1.35%",-359,0.0135,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","1.60%",-358,0.016,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","1.85%",-358,0.0185,0.0108089020495691
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","2.10%",-358,0.021,0.0243124445099302
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","2.35%",-358,0.0235,0.0472174694339986
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","2.60%",-357,0.026,0.079179255087714
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","2.85%",-357,0.0285,0.114646481763995
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","3.10%",-357,0.031,0.143335908832495
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","3.35%",-357,0.0335,0.154737959100633
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","3.60%",-356,0.036,0.144240499636104
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","3.85%",-356,0.0385,0.116098132366474
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","4.10%",-356,0.041,0.0806878882633229
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","4.35%",-356,0.0435,0.0484208380675793
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","4.60%",-355,0.046,0.0250894515541818
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","4.85%",-355,0.0485,0.0112247693340036
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","5.10%",-355,0.051,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","5.35%",-355,0.0535,0
2026-11-03,2025-11-03 01:50:25,"2025-11-03 11:50:25","5.60%",-354,0.056,0
