"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2026-06-16,2025-01-02,"0.10%",-300,0.1,0
2026-06-16,2025-01-02,"0.35%",-300,0.35,0
2026-06-16,2025-01-02,"0.60%",-300,0.6,0
2026-06-16,2025-01-02,"0.85%",-275,0.85,0
2026-06-16,2025-01-02,"1.10%",-250,1.1,0
2026-06-16,2025-01-02,"1.35%",-225,1.35,0
2026-06-16,2025-01-02,"1.60%",-200,1.6,0
2026-06-16,2025-01-02,"1.85%",-175,1.85,0
2026-06-16,2025-01-02,"2.10%",-150,2.1,0.0194979410001211
2026-06-16,2025-01-02,"2.35%",-125,2.35,0.0366874294983861
2026-06-16,2025-01-02,"2.60%",-100,2.6,0.0611781198435276
2026-06-16,2025-01-02,"2.85%",-75,2.85,0.0904125169118327
2026-06-16,2025-01-02,"3.10%",-50,3.1,0.118417833999661
2026-06-16,2025-01-02,"3.35%",-25,3.35,0.137455950481838
2026-06-16,2025-01-02,"3.60%",0,3.6,0.14140632357851
2026-06-16,2025-01-02,"3.85%",25,3.85,0.128923817478032
2026-06-16,2025-01-02,"4.10%",50,4.1,0.104173178705751
2026-06-16,2025-01-02,"4.35%",75,4.35,0.0745994659039441
2026-06-16,2025-01-02,"4.60%",100,4.6,0.0473445936317742
2026-06-16,2025-01-02,"4.85%",125,4.85,0.0266291320188643
2026-06-16,2025-01-02,"5.10%",150,5.1,0.0132736969477575
2026-06-16,2025-01-02,"5.35%",175,5.35,0
2026-06-16,2025-01-02,"5.60%",200,5.6,0
2026-06-16,2025-01-02,"5.85%",225,5.85,0
2026-06-16,2025-01-02,"6.10%",250,6.1,0
2026-06-16,2025-01-03,"0.10%",-300,0.1,0
2026-06-16,2025-01-03,"0.35%",-300,0.35,0
2026-06-16,2025-01-03,"0.60%",-300,0.6,0
2026-06-16,2025-01-03,"0.85%",-275,0.85,0
2026-06-16,2025-01-03,"1.10%",-250,1.1,0
2026-06-16,2025-01-03,"1.35%",-225,1.35,0
2026-06-16,2025-01-03,"1.60%",-200,1.6,0
2026-06-16,2025-01-03,"1.85%",-175,1.85,0
2026-06-16,2025-01-03,"2.10%",-150,2.1,0.0136483203920281
2026-06-16,2025-01-03,"2.35%",-125,2.35,0.0304482612876657
2026-06-16,2025-01-03,"2.60%",-100,2.6,0.0580380565804528
2026-06-16,2025-01-03,"2.85%",-75,2.85,0.0945234168065267
2026-06-16,2025-01-03,"3.10%",-50,3.1,0.131537365073945
2026-06-16,2025-01-03,"3.35%",-25,3.35,0.156403628181481
2026-06-16,2025-01-03,"3.60%",0,3.6,0.158904059189772
2026-06-16,2025-01-03,"3.85%",25,3.85,0.137947512450594
2026-06-16,2025-01-03,"4.10%",50,4.1,0.102324918468362
2026-06-16,2025-01-03,"4.35%",75,4.35,0.0648534764252327
2026-06-16,2025-01-03,"4.60%",100,4.6,0.0351206774884439
2026-06-16,2025-01-03,"4.85%",125,4.85,0.0162503076554959
2026-06-16,2025-01-03,"5.10%",150,5.1,0
2026-06-16,2025-01-03,"5.35%",175,5.35,0
2026-06-16,2025-01-03,"5.60%",200,5.6,0
2026-06-16,2025-01-03,"5.85%",225,5.85,0
2026-06-16,2025-01-03,"6.10%",250,6.1,0
2026-06-16,2025-01-06,"0.10%",-300,0.1,0
2026-06-16,2025-01-06,"0.35%",-300,0.35,0
2026-06-16,2025-01-06,"0.60%",-300,0.6,0
2026-06-16,2025-01-06,"0.85%",-275,0.85,0
2026-06-16,2025-01-06,"1.10%",-250,1.1,0
2026-06-16,2025-01-06,"1.35%",-225,1.35,0
2026-06-16,2025-01-06,"1.60%",-200,1.6,0
2026-06-16,2025-01-06,"1.85%",-175,1.85,0
2026-06-16,2025-01-06,"2.10%",-150,2.1,0
2026-06-16,2025-01-06,"2.35%",-125,2.35,0.0196870144157361
2026-06-16,2025-01-06,"2.60%",-100,2.6,0.0435144612484355
2026-06-16,2025-01-06,"2.85%",-75,2.85,0.080360713223879
2026-06-16,2025-01-06,"3.10%",-50,3.1,0.124000486046207
2026-06-16,2025-01-06,"3.35%",-25,3.35,0.159875445467165
2026-06-16,2025-01-06,"3.60%",0,3.6,0.172236206117129
2026-06-16,2025-01-06,"3.85%",25,3.85,0.155043321738697
2026-06-16,2025-01-06,"4.10%",50,4.1,0.116617925430842
2026-06-16,2025-01-06,"4.35%",75,4.35,0.0732917352680377
2026-06-16,2025-01-06,"4.60%",100,4.6,0.0384868318474847
2026-06-16,2025-01-06,"4.85%",125,4.85,0.0168858591963864
2026-06-16,2025-01-06,"5.10%",150,5.1,0
2026-06-16,2025-01-06,"5.35%",175,5.35,0
2026-06-16,2025-01-06,"5.60%",200,5.6,0
2026-06-16,2025-01-06,"5.85%",225,5.85,0
2026-06-16,2025-01-06,"6.10%",250,6.1,0
2026-06-16,2025-01-07,"0.10%",-300,0.1,0
2026-06-16,2025-01-07,"0.35%",-300,0.35,0
2026-06-16,2025-01-07,"0.60%",-300,0.6,0
2026-06-16,2025-01-07,"0.85%",-275,0.85,0
2026-06-16,2025-01-07,"1.10%",-250,1.1,0
2026-06-16,2025-01-07,"1.35%",-225,1.35,0
2026-06-16,2025-01-07,"1.60%",-200,1.6,0
2026-06-16,2025-01-07,"1.85%",-175,1.85,0
2026-06-16,2025-01-07,"2.10%",-150,2.1,0
2026-06-16,2025-01-07,"2.35%",-125,2.35,0.0160165758658654
2026-06-16,2025-01-07,"2.60%",-100,2.6,0.036930172423073
2026-06-16,2025-01-07,"2.85%",-75,2.85,0.0711116195463219
2026-06-16,2025-01-07,"3.10%",-50,3.1,0.114356625073233
2026-06-16,2025-01-07,"3.35%",-25,3.35,0.153586802283264
2026-06-16,2025-01-07,"3.60%",0,3.6,0.172275980737893
2026-06-16,2025-01-07,"3.85%",25,3.85,0.161389901347571
2026-06-16,2025-01-07,"4.10%",50,4.1,0.126272080332197
2026-06-16,2025-01-07,"4.35%",75,4.35,0.0825110828248885
2026-06-16,2025-01-07,"4.60%",100,4.6,0.0450279283428968
2026-06-16,2025-01-07,"4.85%",125,4.85,0.0205212312227965
2026-06-16,2025-01-07,"5.10%",150,5.1,0
2026-06-16,2025-01-07,"5.35%",175,5.35,0
2026-06-16,2025-01-07,"5.60%",200,5.6,0
2026-06-16,2025-01-07,"5.85%",225,5.85,0
2026-06-16,2025-01-07,"6.10%",250,6.1,0
2026-06-16,2025-01-08,"0.10%",-300,0.1,0
2026-06-16,2025-01-08,"0.35%",-300,0.35,0
2026-06-16,2025-01-08,"0.60%",-300,0.6,0
2026-06-16,2025-01-08,"0.85%",-275,0.85,0
